zone T="t=0.00"
 1.778699994E+000 1.962099969E-002
 2.223400116E+000 3.498300165E-002
 2.668100119E+000 4.897600040E-002
 3.557399988E+000 6.616300344E-002
 4.446800232E+000 6.950899959E-002
 6.225500107E+000 5.779799819E-002
 8.893600464E+000 4.106700048E-002
 1.334000015E+001 2.555299923E-002
 1.778700066E+001 1.825200021E-002
 2.223399925E+001 1.353699993E-002
 2.668099976E+001 1.069299970E-002
 3.557400131E+001 7.148699835E-003
 5.336100006E+001 3.756799968E-003
 7.114900208E+001 1.916400040E-003
 8.893599701E+001 1.128599979E-003
 1.111699982E+002 6.023099995E-004
 1.333999939E+002 3.543900093E-004
 1.556399994E+002 2.038100065E-004
 1.778699951E+002 1.216800010E-004
zone T="t=0.87"
 1.778699994E+000 1.612200029E-002
 2.223400116E+000 2.981100045E-002
 2.668100119E+000 2.965899929E-002
 3.557399988E+000 3.072400019E-002
 4.446800232E+000 2.555299923E-002
 6.225500107E+000 1.931699924E-002
 8.893600464E+000 1.204599999E-002
 1.334000015E+001 7.270299830E-003
 1.778700066E+001 5.262599792E-003
 2.223399925E+001 4.350000061E-003
 2.668099976E+001 3.513500094E-003
 3.557400131E+001 2.175000031E-003
 5.336100006E+001 9.049900109E-004
 7.114900208E+001 3.391799983E-004
 8.893599701E+001 1.368899975E-004
 1.111699982E+002 5.521200001E-005
 1.333999939E+002 2.463999954E-005
 1.556399994E+002 1.003899979E-005
 1.778699951E+002 5.019299806E-006
zone T="t=2.00"
 1.333999991E+000 7.559299935E-003
 1.778699994E+000 1.399299968E-002
 2.223400116E+000 1.825200021E-002
 2.668100119E+000 1.901200041E-002
 3.557399988E+000 1.490600035E-002
 4.446800232E+000 1.239600033E-002
 6.225500107E+000 9.156400338E-003
 8.893600464E+000 5.992699880E-003
 1.334000015E+001 3.665599972E-003
 1.778700066E+001 2.509600017E-003
 2.223399925E+001 1.901200041E-003
 2.668099976E+001 1.387099968E-003
 3.557400131E+001 8.547999896E-004
 5.336100006E+001 2.570500073E-004
 7.114900208E+001 7.909099804E-005
 8.893599701E+001 2.448799933E-005
 1.111699982E+002 7.909099622E-006
 1.333999939E+002 2.144600103E-006
