VARIABLES = "X", "Y", "Z", "U", "V", "W"
ZONE 
I =  48
J =  48
K =  48 , F=POINT 
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -5.9228994117389389e-01 -3.2144287022994822e-01 8.5707812498072056e-01
1.9634954084936207e-01 0.0000000000000000e+00 0.0000000000000000e+00 -3.8393296416749900e-01 -1.0690247807271880e+00 1.7931852287481302e+00
3.9269908169872414e-01 0.0000000000000000e+00 0.0000000000000000e+00 -2.4648418709071560e-02 -1.0767589145790915e+00 9.9928739198598016e-01
3.9269908169872414e-01 0.0000000000000000e+00 0.0000000000000000e+00 -2.4648418709071560e-02 -1.0767589145790915e+00 9.9928739198598016e-01
5.8904862254808621e-01 0.0000000000000000e+00 0.0000000000000000e+00 -1.3263785733059332e-02 -4.0955442643428386e-01 -8.1544690770586448e-01
7.8539816339744828e-01 0.0000000000000000e+00 0.0000000000000000e+00 -1.0683977647593214e-01 -3.4431041478935542e-01 -1.5081733358494481e-01
7.8539816339744828e-01 0.0000000000000000e+00 0.0000000000000000e+00 -1.0683977647593214e-01 -3.4431041478935542e-01 -1.5081733358494481e-01
9.8174770424681035e-01 0.0000000000000000e+00 0.0000000000000000e+00 4.6483880561913771e-01 -3.3397377961024363e-02 -7.1354863977118765e-02
1.1780972450961724e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1392541498391124e+00 5.1341743584340083e-01 3.9399941010756689e-01
1.1780972450961724e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1392541498391124e+00 5.1341743584340083e-01 3.9399941010756689e-01
1.3744467859455345e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1892033352024152e+00 1.4866200396104621e+00 3.9478047291024115e-01
1.5707963267948966e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1913912830838651e+00 8.3845901013100654e-01 -2.1524484370896291e-01
1.5707963267948966e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1913912830838651e+00 8.3845901013100654e-01 -2.1524484370896291e-01
1.7671458676442586e+00 0.0000000000000000e+00 0.0000000000000000e+00 8.1298717555978905e-01 -4.9736337629222305e-01 4.2301334112545702e-01
1.9634954084936207e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.2936112602158515e-02 -1.0808737622416751e+00 -3.2059938030507179e-01
1.9634954084936207e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.2936112602158515e-02 -1.0808737622416751e+00 -3.2059938030507179e-01
2.1598449493429825e+00 0.0000000000000000e+00 0.0000000000000000e+00 4.9760870921546609e-02 -1.0420577826418997e+00 -7.7544576561476353e-01
2.3561944901923448e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.9130173467572806e-01 -3.6404728751381787e-01 1.1804838707144178e+00
2.3561944901923448e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.9130173467572806e-01 -3.6404728751381787e-01 1.1804838707144178e+00
2.5525440310417071e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.0798298704552295e-01 -2.8391781751873124e-01 7.0557333713038750e-01
2.7488935718910690e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.9106137596363472e-01 3.6110772091803961e-01 -1.0722749747890719e+00
2.7488935718910690e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.9106137596363472e-01 3.6110772091803961e-01 -1.0722749747890719e+00
2.9452431127404308e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.9000211231683490e-01 3.8150737013977987e-01 -2.7729148608773113e-01
3.1415926535897931e+00 0.0000000000000000e+00 0.0000000000000000e+00 5.3950944587686667e-01 4.5902330630399912e-01 -2.3773156135113582e-01
3.1415926535897931e+00 0.0000000000000000e+00 0.0000000000000000e+00 5.3950944587686667e-01 4.5902330630399912e-01 -2.3773156135113582e-01
3.3379421944391554e+00 0.0000000000000000e+00 0.0000000000000000e+00 6.5302983342758003e-01 -5.5368868626398549e-01 2.9932859151430985e-01
3.5342917352885173e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.2627795522701098e-02 3.8513740334379859e-01 1.0684681454128948e+00
3.5342917352885173e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.2627795522701098e-02 3.8513740334379859e-01 1.0684681454128948e+00
3.7306412761378791e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1337355534276646e-02 1.0435010501024229e+00 6.9112179841072330e-01
3.9269908169872414e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.7966681827848857e-01 5.2918687579995849e-01 4.1358004200101139e-01
3.9269908169872414e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.7966681827848857e-01 5.2918687579995849e-01 4.1358004200101139e-01
4.1233403578366037e+00 0.0000000000000000e+00 0.0000000000000000e+00 -6.8167731683436672e-01 6.8223993753331802e-01 -1.0422474933094539e-01
4.3196898986859651e+00 0.0000000000000000e+00 0.0000000000000000e+00 -6.5738973751182228e-01 4.3711437272964965e-01 3.1139854101353359e-01
4.3196898986859651e+00 0.0000000000000000e+00 0.0000000000000000e+00 -6.5738973751182228e-01 4.3711437272964965e-01 3.1139854101353359e-01
4.5160394395353274e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.9718160301836757e-01 1.3221900674364220e+00 -2.4354527969832390e-01
4.7123889803846897e+00 0.0000000000000000e+00 0.0000000000000000e+00 9.0651634229538414e-01 -4.4125608471851034e-02 -2.4574866749106841e-01
4.7123889803846897e+00 0.0000000000000000e+00 0.0000000000000000e+00 9.0651634229538414e-01 -4.4125608471851034e-02 -2.4574866749106841e-01
4.9087385212340520e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.4515994000535706e+00 2.0070022605685228e-01 -7.0334311162119267e-01
5.1050880620834143e+00 0.0000000000000000e+00 0.0000000000000000e+00 9.7019272636375298e-01 -3.7683049126411033e-01 -7.2759283182576495e-01
5.1050880620834143e+00 0.0000000000000000e+00 0.0000000000000000e+00 9.7019272636375298e-01 -3.7683049126411033e-01 -7.2759283182576495e-01
5.3014376029327757e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.7092767528864170e-01 -4.4888836871445259e-01 7.8352115235323816e-01
5.4977871437821380e+00 0.0000000000000000e+00 0.0000000000000000e+00 -5.0522981484470764e-01 1.1991379394825186e+00 1.6784892415929411e+00
5.4977871437821380e+00 0.0000000000000000e+00 0.0000000000000000e+00 -5.0522981484470764e-01 1.1991379394825186e+00 1.6784892415929411e+00
5.6941366846315002e+00 0.0000000000000000e+00 0.0000000000000000e+00 -7.4301576773923084e-01 5.1174014860614681e-01 1.3117184593497930e+00
5.8904862254808616e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1998138350628627e-03 -1.3268880846272246e-01 1.9869257672880513e-02
5.8904862254808616e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1998138350628627e-03 -1.3268880846272246e-01 1.9869257672880513e-02
6.0868357663302239e+00 0.0000000000000000e+00 0.0000000000000000e+00 -6.2573635096511315e-02 -3.0910031593181447e-01 5.4105421491958006e-01
6.2831853071795862e+00 0.0000000000000000e+00 0.0000000000000000e+00 -5.9228994117389211e-01 -3.2144287022994594e-01 8.5707812498071378e-01
0.0000000000000000e+00 1.9634954084936207e-01 0.0000000000000000e+00 4.9147286562634634e-01 -5.2868871539088202e-01 8.4343519877739126e-01
1.9634954084936207e-01 1.9634954084936207e-01 0.0000000000000000e+00 9.5997262088516666e-01 -1.1839068982363019e+00 1.4433531000370774e+00
3.9269908169872414e-01 1.9634954084936207e-01 0.0000000000000000e+00 6.0741474855983602e-01 -7.5704231489761953e-01 4.6551676938925091e-01
3.9269908169872414e-01 1.9634954084936207e-01 0.0000000000000000e+00 6.0741474855983602e-01 -7.5704231489761953e-01 4.6551676938925091e-01
5.8904862254808621e-01 1.9634954084936207e-01 0.0000000000000000e+00 -2.2390601707555949e-01 2.6847387035292630e-02 -9.5173485557812310e-01
7.8539816339744828e-01 1.9634954084936207e-01 0.0000000000000000e+00 -3.5507280506537103e-01 -3.1261535079619741e-02 -6.2627133916247935e-01
7.8539816339744828e-01 1.9634954084936207e-01 0.0000000000000000e+00 -3.5507280506537103e-01 -3.1261535079619741e-02 -6.2627133916247935e-01
9.8174770424681035e-01 1.9634954084936207e-01 0.0000000000000000e+00 1.3722242017113287e-01 2.1132911714107369e-01 -2.6398357743524575e-01
1.1780972450961724e+00 1.9634954084936207e-01 0.0000000000000000e+00 1.1701248691598329e-01 5.2029641041791064e-01 -4.1694506647487672e-01
1.1780972450961724e+00 1.9634954084936207e-01 0.0000000000000000e+00 1.1701248691598329e-01 5.2029641041791064e-01 -4.1694506647487672e-01
1.3744467859455345e+00 1.9634954084936207e-01 0.0000000000000000e+00 5.4801160119554693e-01 1.1458045665192813e+00 7.9443137837526698e-02
1.5707963267948966e+00 1.9634954084936207e-01 0.0000000000000000e+00 9.2298867954920094e-01 1.6224574695265179e+00 7.5375380814032478e-01
1.5707963267948966e+00 1.9634954084936207e-01 0.0000000000000000e+00 9.2298867954920094e-01 1.6224574695265179e+00 7.5375380814032478e-01
1.7671458676442586e+00 1.9634954084936207e-01 0.0000000000000000e+00 3.4896410740681022e-01 6.6646935853559408e-01 4.9523366401496799e-01
1.9634954084936207e+00 1.9634954084936207e-01 0.0000000000000000e+00 2.9207756510895657e-02 -8.6781534200473232e-01 -2.1410247818036415e-01
1.9634954084936207e+00 1.9634954084936207e-01 0.0000000000000000e+00 2.9207756510895657e-02 -8.6781534200473232e-01 -2.1410247818036415e-01
2.1598449493429825e+00 1.9634954084936207e-01 0.0000000000000000e+00 3.3867334106398216e-02 -1.1475728773089025e+00 -4.0789438863827615e-01
2.3561944901923448e+00 1.9634954084936207e-01 0.0000000000000000e+00 -5.6596667060506679e-02 -1.6845714705516615e-01 6.8739759652455423e-01
2.3561944901923448e+00 1.9634954084936207e-01 0.0000000000000000e+00 -5.6596667060506679e-02 -1.6845714705516615e-01 6.8739759652455423e-01
2.5525440310417071e+00 1.9634954084936207e-01 0.0000000000000000e+00 -6.1269480516504514e-02 -2.7514267755227911e-01 4.0206632414130522e-01
2.7488935718910690e+00 1.9634954084936207e-01 0.0000000000000000e+00 3.0220239097123908e-01 6.1375564374729452e-01 -1.1126091416108597e+00
2.7488935718910690e+00 1.9634954084936207e-01 0.0000000000000000e+00 3.0220239097123908e-01 6.1375564374729452e-01 -1.1126091416108597e+00
2.9452431127404308e+00 1.9634954084936207e-01 0.0000000000000000e+00 -4.7249780303976162e-02 1.0905104669762649e+00 -5.9021767490650290e-01
3.1415926535897931e+00 1.9634954084936207e-01 0.0000000000000000e+00 -8.2518760964805116e-01 6.8168639410237486e-01 1.9880286516927381e-01
3.1415926535897931e+00 1.9634954084936207e-01 0.0000000000000000e+00 -8.2518760964805116e-01 6.8168639410237486e-01 1.9880286516927381e-01
3.3379421944391554e+00 1.9634954084936207e-01 0.0000000000000000e+00 -1.2425987815323545e+00 -2.0832659288071309e-01 5.5239673046484894e-01
3.5342917352885173e+00 1.9634954084936207e-01 0.0000000000000000e+00 -1.2894316077546186e+00 1.6559778341710796e-01 6.8496643389746770e-01
3.5342917352885173e+00 1.9634954084936207e-01 0.0000000000000000e+00 -1.2894316077546186e+00 1.6559778341710796e-01 6.8496643389746770e-01
