          x                      y                      z            
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 
2.1707871342270596e-01 0.0000000000000000e+00 0.0000000000000000e+00 
5.6831944997474226e-01 0.0000000000000000e+00 0.0000000000000000e+00 
7.8539816339744828e-01 0.0000000000000000e+00 0.0000000000000000e+00 
0.0000000000000000e+00 2.1707871342270596e-01 0.0000000000000000e+00 
2.1707871342270599e-01 2.1707871342270599e-01 0.0000000000000000e+00 
5.6831944997474215e-01 2.1707871342270599e-01 0.0000000000000000e+00 
7.8539816339744828e-01 2.1707871342270596e-01 0.0000000000000000e+00 
0.0000000000000000e+00 5.6831944997474226e-01 0.0000000000000000e+00 
2.1707871342270599e-01 5.6831944997474215e-01 0.0000000000000000e+00 
5.6831944997474215e-01 5.6831944997474215e-01 0.0000000000000000e+00 
7.8539816339744828e-01 5.6831944997474226e-01 0.0000000000000000e+00 
0.0000000000000000e+00 7.8539816339744828e-01 0.0000000000000000e+00 
2.1707871342270596e-01 7.8539816339744828e-01 0.0000000000000000e+00 
5.6831944997474226e-01 7.8539816339744828e-01 0.0000000000000000e+00 
7.8539816339744828e-01 7.8539816339744828e-01 0.0000000000000000e+00 
0.0000000000000000e+00 0.0000000000000000e+00 2.1707871342270596e-01 
2.1707871342270599e-01 0.0000000000000000e+00 2.1707871342270599e-01 
5.6831944997474215e-01 0.0000000000000000e+00 2.1707871342270599e-01 
7.8539816339744828e-01 0.0000000000000000e+00 2.1707871342270596e-01 
0.0000000000000000e+00 2.1707871342270599e-01 2.1707871342270599e-01 
2.1707871342270593e-01 2.1707871342270593e-01 2.1707871342270593e-01 
5.6831944997474215e-01 2.1707871342270593e-01 2.1707871342270593e-01 
7.8539816339744817e-01 2.1707871342270599e-01 2.1707871342270599e-01 
0.0000000000000000e+00 5.6831944997474215e-01 2.1707871342270599e-01 
2.1707871342270593e-01 5.6831944997474215e-01 2.1707871342270596e-01 
5.6831944997474226e-01 5.6831944997474226e-01 2.1707871342270596e-01 
7.8539816339744817e-01 5.6831944997474215e-01 2.1707871342270599e-01 
0.0000000000000000e+00 7.8539816339744828e-01 2.1707871342270596e-01 
2.1707871342270599e-01 7.8539816339744817e-01 2.1707871342270599e-01 
5.6831944997474215e-01 7.8539816339744817e-01 2.1707871342270599e-01 
7.8539816339744828e-01 7.8539816339744828e-01 2.1707871342270596e-01 
0.0000000000000000e+00 0.0000000000000000e+00 5.6831944997474226e-01 
2.1707871342270599e-01 0.0000000000000000e+00 5.6831944997474215e-01 
5.6831944997474215e-01 0.0000000000000000e+00 5.6831944997474215e-01 
7.8539816339744828e-01 0.0000000000000000e+00 5.6831944997474226e-01 
0.0000000000000000e+00 2.1707871342270599e-01 5.6831944997474215e-01 
2.1707871342270596e-01 2.1707871342270596e-01 5.6831944997474215e-01 
5.6831944997474226e-01 2.1707871342270596e-01 5.6831944997474226e-01 
7.8539816339744817e-01 2.1707871342270599e-01 5.6831944997474215e-01 
0.0000000000000000e+00 5.6831944997474215e-01 5.6831944997474215e-01 
2.1707871342270596e-01 5.6831944997474226e-01 5.6831944997474226e-01 
5.6831944997474226e-01 5.6831944997474226e-01 5.6831944997474226e-01 
7.8539816339744828e-01 5.6831944997474215e-01 5.6831944997474215e-01 
0.0000000000000000e+00 7.8539816339744828e-01 5.6831944997474226e-01 
2.1707871342270599e-01 7.8539816339744817e-01 5.6831944997474215e-01 
