          x                      y                      z            
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 
1.8452511708580685e-01 0.0000000000000000e+00 0.0000000000000000e+00 
5.6137785421048070e-01 0.0000000000000000e+00 0.0000000000000000e+00 
1.0094184725844160e+00 0.0000000000000000e+00 0.0000000000000000e+00 
1.3862712097090897e+00 0.0000000000000000e+00 0.0000000000000000e+00 
1.5707963267948966e+00 0.0000000000000000e+00 0.0000000000000000e+00 
0.0000000000000000e+00 1.8452511708580685e-01 0.0000000000000000e+00 
1.8452511708580685e-01 1.8452511708580685e-01 0.0000000000000000e+00 
5.6137785421048070e-01 1.8452511708580685e-01 0.0000000000000000e+00 
1.0094184725844160e+00 1.8452511708580685e-01 0.0000000000000000e+00 
1.3862712097090897e+00 1.8452511708580685e-01 0.0000000000000000e+00 
1.5707963267948966e+00 1.8452511708580685e-01 0.0000000000000000e+00 
0.0000000000000000e+00 5.6137785421048070e-01 0.0000000000000000e+00 
1.8452511708580685e-01 5.6137785421048070e-01 0.0000000000000000e+00 
5.6137785421048070e-01 5.6137785421048070e-01 0.0000000000000000e+00 
1.0094184725844160e+00 5.6137785421048059e-01 0.0000000000000000e+00 
1.3862712097090897e+00 5.6137785421048070e-01 0.0000000000000000e+00 
1.5707963267948966e+00 5.6137785421048070e-01 0.0000000000000000e+00 
0.0000000000000000e+00 1.0094184725844160e+00 0.0000000000000000e+00 
1.8452511708580685e-01 1.0094184725844160e+00 0.0000000000000000e+00 
5.6137785421048059e-01 1.0094184725844160e+00 0.0000000000000000e+00 
1.0094184725844160e+00 1.0094184725844160e+00 0.0000000000000000e+00 
1.3862712097090897e+00 1.0094184725844160e+00 0.0000000000000000e+00 
1.5707963267948966e+00 1.0094184725844160e+00 0.0000000000000000e+00 
0.0000000000000000e+00 1.3862712097090897e+00 0.0000000000000000e+00 
1.8452511708580685e-01 1.3862712097090897e+00 0.0000000000000000e+00 
5.6137785421048070e-01 1.3862712097090897e+00 0.0000000000000000e+00 
1.0094184725844160e+00 1.3862712097090897e+00 0.0000000000000000e+00 
1.3862712097090897e+00 1.3862712097090897e+00 0.0000000000000000e+00 
1.5707963267948966e+00 1.3862712097090897e+00 0.0000000000000000e+00 
0.0000000000000000e+00 1.5707963267948966e+00 0.0000000000000000e+00 
1.8452511708580685e-01 1.5707963267948966e+00 0.0000000000000000e+00 
5.6137785421048070e-01 1.5707963267948966e+00 0.0000000000000000e+00 
1.0094184725844160e+00 1.5707963267948966e+00 0.0000000000000000e+00 
1.3862712097090897e+00 1.5707963267948966e+00 0.0000000000000000e+00 
1.5707963267948966e+00 1.5707963267948966e+00 0.0000000000000000e+00 
0.0000000000000000e+00 0.0000000000000000e+00 1.8452511708580685e-01 
1.8452511708580685e-01 0.0000000000000000e+00 1.8452511708580685e-01 
5.6137785421048070e-01 0.0000000000000000e+00 1.8452511708580685e-01 
1.0094184725844160e+00 0.0000000000000000e+00 1.8452511708580685e-01 
1.3862712097090897e+00 0.0000000000000000e+00 1.8452511708580685e-01 
1.5707963267948966e+00 0.0000000000000000e+00 1.8452511708580685e-01 
0.0000000000000000e+00 1.8452511708580685e-01 1.8452511708580685e-01 
1.8452511708580685e-01 1.8452511708580685e-01 1.8452511708580685e-01 
5.6137785421048070e-01 1.8452511708580685e-01 1.8452511708580685e-01 
1.0094184725844157e+00 1.8452511708580688e-01 1.8452511708580688e-01 
1.3862712097090897e+00 1.8452511708580685e-01 1.8452511708580685e-01 
1.5707963267948966e+00 1.8452511708580685e-01 1.8452511708580685e-01 
0.0000000000000000e+00 5.6137785421048070e-01 1.8452511708580685e-01 
1.8452511708580685e-01 5.6137785421048070e-01 1.8452511708580685e-01 
5.6137785421048070e-01 5.6137785421048070e-01 1.8452511708580682e-01 
1.0094184725844160e+00 5.6137785421048070e-01 1.8452511708580682e-01 
1.3862712097090897e+00 5.6137785421048070e-01 1.8452511708580685e-01 
1.5707963267948966e+00 5.6137785421048070e-01 1.8452511708580685e-01 
0.0000000000000000e+00 1.0094184725844160e+00 1.8452511708580685e-01 
1.8452511708580688e-01 1.0094184725844157e+00 1.8452511708580682e-01 
5.6137785421048070e-01 1.0094184725844160e+00 1.8452511708580682e-01 
1.0094184725844160e+00 1.0094184725844160e+00 1.8452511708580688e-01 
1.3862712097090897e+00 1.0094184725844160e+00 1.8452511708580685e-01 
1.5707963267948966e+00 1.0094184725844160e+00 1.8452511708580685e-01 
0.0000000000000000e+00 1.3862712097090897e+00 1.8452511708580685e-01 
1.8452511708580685e-01 1.3862712097090897e+00 1.8452511708580685e-01 
5.6137785421048070e-01 1.3862712097090897e+00 1.8452511708580685e-01 
1.0094184725844160e+00 1.3862712097090897e+00 1.8452511708580688e-01 
1.3862712097090897e+00 1.3862712097090897e+00 1.8452511708580688e-01 
1.5707963267948966e+00 1.3862712097090897e+00 1.8452511708580685e-01 
0.0000000000000000e+00 1.5707963267948966e+00 1.8452511708580685e-01 
1.8452511708580685e-01 1.5707963267948966e+00 1.8452511708580685e-01 
5.6137785421048070e-01 1.5707963267948966e+00 1.8452511708580685e-01 
1.0094184725844160e+00 1.5707963267948966e+00 1.8452511708580685e-01 
1.3862712097090897e+00 1.5707963267948966e+00 1.8452511708580685e-01 
1.5707963267948966e+00 1.5707963267948966e+00 1.8452511708580685e-01 
0.0000000000000000e+00 0.0000000000000000e+00 5.6137785421048070e-01 
1.8452511708580685e-01 0.0000000000000000e+00 5.6137785421048070e-01 
5.6137785421048070e-01 0.0000000000000000e+00 5.6137785421048070e-01 
1.0094184725844160e+00 0.0000000000000000e+00 5.6137785421048059e-01 
1.3862712097090897e+00 0.0000000000000000e+00 5.6137785421048070e-01 
1.5707963267948966e+00 0.0000000000000000e+00 5.6137785421048070e-01 
0.0000000000000000e+00 1.8452511708580685e-01 5.6137785421048070e-01 
1.8452511708580685e-01 1.8452511708580685e-01 5.6137785421048070e-01 
5.6137785421048070e-01 1.8452511708580682e-01 5.6137785421048070e-01 
1.0094184725844160e+00 1.8452511708580682e-01 5.6137785421048070e-01 
1.3862712097090897e+00 1.8452511708580685e-01 5.6137785421048070e-01 
1.5707963267948963e+00 1.8452511708580685e-01 5.6137785421048070e-01 
0.0000000000000000e+00 5.6137785421048070e-01 5.6137785421048070e-01 
1.8452511708580682e-01 5.6137785421048070e-01 5.6137785421048070e-01 
5.6137785421048059e-01 5.6137785421048059e-01 5.6137785421048059e-01 
1.0094184725844160e+00 5.6137785421048070e-01 5.6137785421048070e-01 
1.3862712097090895e+00 5.6137785421048070e-01 5.6137785421048070e-01 
1.5707963267948966e+00 5.6137785421048070e-01 5.6137785421048070e-01 
0.0000000000000000e+00 1.0094184725844160e+00 5.6137785421048059e-01 
1.8452511708580682e-01 1.0094184725844160e+00 5.6137785421048070e-01 
5.6137785421048070e-01 1.0094184725844160e+00 5.6137785421048070e-01 
1.0094184725844160e+00 1.0094184725844160e+00 5.6137785421048070e-01 
1.3862712097090897e+00 1.0094184725844160e+00 5.6137785421048070e-01 
1.5707963267948963e+00 1.0094184725844160e+00 5.6137785421048059e-01 
0.0000000000000000e+00 1.3862712097090897e+00 5.6137785421048070e-01 
1.8452511708580685e-01 1.3862712097090897e+00 5.6137785421048059e-01 
5.6137785421048070e-01 1.3862712097090895e+00 5.6137785421048070e-01 
1.0094184725844160e+00 1.3862712097090897e+00 5.6137785421048070e-01 
1.3862712097090897e+00 1.3862712097090897e+00 5.6137785421048070e-01 
1.5707963267948966e+00 1.3862712097090897e+00 5.6137785421048070e-01 
0.0000000000000000e+00 1.5707963267948966e+00 5.6137785421048070e-01 
1.8452511708580685e-01 1.5707963267948963e+00 5.6137785421048070e-01 
5.6137785421048070e-01 1.5707963267948966e+00 5.6137785421048070e-01 
1.0094184725844160e+00 1.5707963267948963e+00 5.6137785421048059e-01 
1.3862712097090897e+00 1.5707963267948966e+00 5.6137785421048070e-01 
1.5707963267948966e+00 1.5707963267948966e+00 5.6137785421048070e-01 
0.0000000000000000e+00 0.0000000000000000e+00 1.0094184725844160e+00 
